ugpa,decile1,decile1b,decile3,lsat,grad,fulltime,fam_inc,tier,race1,sex,pass_bar
3.3,3.0,3.0,5.0,38.0,1.0,2.0,1.0,4.0,1.0,1.0,1
3.8,10.0,10.0,10.0,42.0,1.0,1.0,5.0,4.0,1.0,1.0,1
3.4,2.0,2.0,2.0,40.0,1.0,1.0,4.0,3.0,1.0,1.0,1
3.8,6.0,6.0,6.0,44.0,1.0,1.0,4.0,6.0,1.0,1.0,1
3.0,7.0,6.0,8.0,26.5,1.0,1.0,4.0,3.0,5.0,1.0,1
2.9,7.0,7.0,8.0,42.0,1.0,1.0,3.0,3.0,1.0,2.0,1
2.4,2.0,2.0,1.0,33.0,1.0,2.0,3.0,2.0,1.0,2.0,1
3.7,6.0,5.0,6.0,39.0,1.0,1.0,5.0,3.0,1.0,1.0,1
3.3,2.0,2.0,1.0,31.0,1.0,1.0,3.0,3.0,1.0,1.0,1
3.4,10.0,10.0,9.0,46.0,1.0,1.0,4.0,4.0,1.0,2.0,1
3.2,6.0,6.0,6.0,38.0,1.0,1.0,5.0,4.0,1.0,1.0,1
2.8,8.0,8.0,6.0,48.0,1.0,1.0,4.0,5.0,1.0,2.0,1
3.5,4.0,4.0,4.0,39.0,1.0,1.0,3.0,5.0,1.0,1.0,1
3.2,8.0,8.0,9.0,33.0,1.0,1.0,5.0,3.0,1.0,1.0,1
2.7,6.0,6.0,5.0,38.0,1.0,1.0,4.0,4.0,1.0,1.0,1
2.8,2.0,2.0,2.0,35.0,1.0,1.0,3.0,4.0,4.0,1.0,1
2.6,3.0,2.0,1.0,22.0,1.0,1.0,3.0,1.0,4.0,2.0,1
3.6,7.0,7.0,6.0,34.0,1.0,1.0,5.0,4.0,1.0,1.0,1
3.6,8.0,8.0,7.0,38.0,1.0,1.0,5.0,4.0,1.0,2.0,1
3.1,6.0,6.0,6.0,41.0,1.0,1.0,3.0,6.0,3.0,1.0,1
2.1,4.0,4.0,5.0,33.5,1.0,1.0,4.0,3.0,1.0,1.0,1
3.4,6.0,6.0,6.0,30.0,1.0,1.0,3.0,6.0,2.0,1.0,0
3.7,8.0,8.0,8.0,44.0,1.0,1.0,3.0,4.0,1.0,1.0,1
3.2,1.0,1.0,1.0,30.5,1.0,1.0,4.0,2.0,1.0,2.0,0
3.5,9.0,6.0,6.0,34.0,1.0,1.0,3.0,5.0,1.0,1.0,1
3.3,6.0,6.0,6.0,40.0,1.0,1.0,3.0,4.0,1.0,1.0,1
2.3,9.0,9.0,9.0,35.5,1.0,2.0,3.0,5.0,1.0,2.0,1
3.8,10.0,10.0,10.0,37.0,1.0,1.0,3.0,4.0,1.0,1.0,1
2.8,3.0,3.0,4.0,38.0,1.0,2.0,4.0,4.0,1.0,1.0,1
3.6,7.0,7.0,9.0,44.0,1.0,1.0,4.0,4.0,1.0,2.0,1
3.7,8.0,8.0,6.0,41.0,1.0,1.0,3.0,4.0,1.0,2.0,1
3.9,7.0,7.0,5.0,28.5,1.0,2.0,2.0,4.0,1.0,2.0,1
3.3,10.0,10.0,9.0,34.0,1.0,1.0,3.0,1.0,4.0,1.0,1
3.5,10.0,10.0,9.0,46.0,1.0,1.0,4.0,4.0,1.0,2.0,1
3.6,6.0,6.0,6.0,44.0,1.0,1.0,4.0,6.0,1.0,2.0,1
3.6,9.0,9.0,8.0,28.0,1.0,1.0,4.0,2.0,1.0,1.0,1
3.2,1.0,1.0,5.0,21.5,1.0,2.0,2.0,3.0,2.0,2.0,0
